iter	Passed	Remaining
0	1	1593
1	3	1568
2	4	1458
3	7	1886
4	10	2165
5	14	2346
6	17	2428
7	20	2540
8	23	2631
9	27	2684
10	30	2730
11	33	2762
12	36	2802
13	39	2796
14	42	2793
15	45	2781
16	48	2798
17	50	2757
18	53	2770
19	57	2801
20	58	2718
21	59	2643
22	60	2575
23	61	2511
24	62	2445
25	64	2403
26	65	2376
27	67	2337
28	68	2299
29	70	2268
30	71	2238
31	72	2206
32	74	2184
33	76	2160
34	77	2135
35	78	2109
36	80	2088
37	81	2065
38	82	2043
39	84	2024
40	85	2007
41	87	1991
42	88	1971
43	89	1948
44	91	1933
45	92	1915
46	93	1898
47	94	1881
48	96	1868
49	97	1850
50	99	1855
51	101	1846
52	102	1834
53	104	1826
54	105	1807
55	106	1792
56	107	1776
57	108	1760
58	109	1747
59	110	1733
60	111	1719
61	112	1705
62	113	1690
63	115	1682
64	118	1701
65	119	1690
66	121	1698
67	123	1687
68	124	1676
69	125	1664
70	126	1652
71	127	1637
72	128	1628
73	129	1616
74	130	1603
75	130	1591
76	131	1579
77	132	1569
78	133	1558
79	134	1548
80	135	1539
81	136	1530
82	137	1522
83	138	1515
84	139	1506
85	140	1497
86	141	1487
87	142	1480
88	143	1471
89	144	1462
90	145	1457
91	146	1448
92	147	1441
93	148	1434
94	149	1426
95	150	1420
96	151	1413
97	153	1408
98	154	1401
99	154	1393
100	155	1387
101	156	1380
102	157	1373
103	158	1368
104	159	1361
105	160	1354
106	161	1348
107	162	1343
108	163	1339
109	165	1335
110	166	1330
111	167	1326
112	168	1322
113	169	1318
114	170	1313
115	171	1308
116	172	1302
117	173	1298
118	174	1290
119	175	1286
120	176	1283
121	177	1279
122	178	1274
123	179	1270
124	180	1265
125	181	1261
126	183	1258
127	183	1251
128	184	1247
129	185	1242
130	186	1239
131	187	1234
132	188	1229
133	189	1226
134	190	1222
135	191	1219
136	192	1215
137	193	1211
138	195	1208
139	196	1205
140	197	1201
141	198	1198
142	199	1195
143	200	1192
144	201	1185
145	201	1181
146	202	1177
147	203	1173
148	204	1170
149	205	1166
150	206	1163
151	207	1159
152	208	1156
153	209	1152
154	210	1149
155	211	1145
156	212	1141
157	213	1138
158	214	1135
159	215	1131
160	216	1129
161	217	1125
162	218	1123
163	219	1120
164	220	1117
165	221	1114
166	222	1111
167	224	1109
168	224	1105
169	226	1103
170	227	1100
171	227	1097
172	228	1093
173	229	1090
174	230	1088
175	231	1084
176	232	1082
177	233	1077
178	234	1074
179	235	1071
180	236	1069
181	237	1067
182	238	1064
183	239	1062
184	240	1057
185	240	1054
186	241	1051
187	243	1049
188	244	1047
189	245	1044
190	246	1042
191	247	1039
192	248	1037
193	249	1035
194	250	1032
195	251	1030
196	252	1027
197	253	1025
198	254	1022
199	255	1020
200	256	1018
201	257	1016
202	258	1014
